id_vb	ten_file
1464	Thong bao va Ban cam ket thi đua đat tieu chuan An toan ve ANTT nam 2023.pdf
2791	18.Cvthuongthao-EmailCSKH.pdf
3556	CV-YC-Lamro-HSDT-IID-1-.pdf
3631	15.3-QD-PD-KQ-LCNT-D eOffice_new.pdf
3863	CPCIT_Di_1_20230405160736364.PDF
8311	25-QD-phe duyet-EHSMT-HH HATANG20232023.pdf
8325	20-QD-TL-TCG TTĐ-goi mua sam hh thuoc LAN2023.pdf
8334	QD-PD-BCKTKT-DA-DVMANG-2023.pdf
8355	Thong-Bao-Txl.pdf
9316	CV-YC-Lamro-HSDT-IID-01PTV-.pdf
10066	Quyet-Dinh-HD TXL 23 IT.pdf
11464	07-QD-PD-BCKTKT-Tuyen dung truc tuyen.pdf
12218	CV-TT hopdong-03PTV.pdf
12221	23.QĐPD-KQLCNT-IP.pdf
12222	CV-TT hopdong.pdf
12758	TB-Lap-Kehoach-SCL2023.pdf
14737	12-PD-KQLCNT-01PTV.pdf
14738	12-PD-KQLCNT-02PTV.pdf
14739	12-PD-KQLCNT-03PTV.pdf
14740	QD-Thanhlap-To-Giamsat-Trienkhai-DA-ATTT-BS-2022.pdf
17057	ThongBaoKhoicong-ATTT- 2022.pdf
17058	Thong bao huong ung thang hanh đong AT-VSLĐ nam 2023.pdf
17964	42.QD-TL-Hoi dong nghiem thu ATTT-2022.pdf
18106	ThongBaoKhoicong-Saoluu-Tangcuong- 2022.pdf
18641	TỜ TRÌNH PHÊ DUYỆT BAN HÀNH CHỨC NĂNG, NV, QH .pdf
18776	10-QD-Danhsach-Xephang-NT.pdf
19046	05.QD-TTD_DA_Tuyen dung truc tuyen.pdf
19467	11-TB-TTHD-Muasam-Trinh chieu_kyso.pdf
19627	1. QĐ Nâng lương Hoàng Xuân Dũng.pdf
19650	QT-QLVH-Vienthong-CPCIT-2023-Final-.pdf
20343	Ttrinh-Danhgia-ATTT-Noibo-2023.pdf
21353	03-QD-KHLCNT_Tuyendung.pdf
21730	THONG BAO MCO NGAY 20-4-2023 docx.pdf
22296	387 QĐ-IT.PDF
22957	QD-PD-TTD-DA-DVMANG-2023.pdf
23654	15.3-QD-PD-KQ-LCNT-Trinhchieu.pdf
23655	12. QD-PD-KHLCNT-MSTB.pdf
23966	CPCIT_Di_1_20230425105337419.PDF
24112	16-Thư chấp thuận E-HSDT và trao hop dong.pdf
24828	Phuongan-UCSC-ATTT-CPCIT-Trinhky.pdf
26072	03-QĐ-KHLCNT 01TV TDuan-Mua GGmap 03 Nam.pdf
26575	17-QD_PD_eHSMT-MSTB.pdf
26581	QD-PD-DA-DVMANG-2023.pdf
26610	3. QĐ dieu-dong- Q Hải.pdf
26618	QĐ ĐIỀU ĐỘNG Ô NGUYỄN T CHÂU.pdf
26627	QĐ ĐIỀU ĐỘNG ÔNG VƯƠNG THÔNG.pdf
27092	THÔNG BÁO CÔNG TÁC CÁN BỘ THÁNG 3-2023.pdf
27659	QĐ GIAO NV PP PHỤ TRÁCH P TH - V PHƯƠNG.pdf
28079	QD-PD-KHLCNT-DA-MGT-TTDL-2023.pdf
29263	TB-Lich-Truc-Le-30-4.pdf
31322	1.BẢN TRÌNH- QĐ thành lập lại Hoidong nâng lương và xét hệ số Pi .pdf
31838	01-2-QD-TL-TTD-Mua-Sam-TBCNTT-Thay-Doi-TV.pdf
31947	QUYẾT ĐỊNH TRIỂN KHAI BQLDAKN.pdf
31954	1.BẢN TRÌNH- T5-2023-QD-Thanhlap-Lai-Hoidong-TDKT.pdf
32417	Gui CPCIT_DK User van hanh chuong trinh bao lanh HDMBD_27.4.2023.pdf
33017	TO-TRINH-THANH-LAP-LAI-TO-QTRR.pdf
34274	Quyet-Dinh-TL-BAN-CHI-DAO-CCHC-08-5-2023-IT.pdf
35872	22-QD-PD-Ehsmt-Dieuchinh E-HSMT.pdf
36595	4-QD-PD-KHLCNT-Hacker mũ trắng.pdf
41133	vv sửa chữa thiết bị hư hỏng.pdf
41166	Quyet đinh thanh lap lai đoi PCTT&TKCN Cong ty nam 2023.pdf
42149	13-QD-KQ-DXTC-ATTT2023-CSKH2023-01TV.pdf
43185	Cvthuongthao-ATTT2023-CSKH2023-01.TV.pdf
45444	05.QD-TTD_DA_GGmap 03 nam.pdf
45446	TB-Ketluan-BanQLDA-T5-2023.pdf
47287	03-QD-KHLCNT_GGmap 03 nam.pdf
50910	32.QĐPD-KQLCNT-MSTB.pdf
50916	02-QD-TL-TCG-GGMaps 03 nam.pdf
51066	Bang phan cong nhiem vu BCH PCTT&TKCN Cong ty nam 2023.pdf
52398	QĐ-Quypl-CPCITC-Cho-Cac-Chau-1-6-2022.pdf
52408	2-Thong-Bao-Dang-Ky-Nam-2023.pdf
54559	1.QD-Tiep-Nhan-Va-Bo-Tri-Lao-Dong-Nguyễn Hữu Giang.pdf
54566	2.QD-Tiep-Nhan-Va-Bo-Tri-Lao-Dong-Nguyễn Xuân Bảo.pdf
54571	4.QD-Tiep-Nhan-Va-Bo-Tri-Lao-Dong-Nguyễn Thị Hanh.pdf
54573	3.QD-Tiep-Nhan-Va-Bo-Tri-Lao-Dong-Nguyễn Anh Văn.pdf
57012	GM-CC-Hoithao-ATTT-2023.pdf
59084	BAO CAO 5007.pdf
59766	17-QD_PD_eHSMT-Bandoso 03 nam.pdf
67392	QUYET-DINH-TRIEN-KHAI-BQLDAKN-062023-L4.pdf
71203	TBKL-Hop-Rasoat-Phancong-DT-TH-KTMVT-062023-1.pdf
72326	02-QD-TL-Lai (Lan 2)-TCG-TTD-QuayGDS.pdf
73990	KH-Thuc-Hien-NQ01-Chi-Thi-03.pdf
75624	05.QD-TTD_DA_DA PM kiem thu.pdf
78682	03-QD-KHLCNT_PM kiem thu.pdf
79166	02.Qd-BAN-HANH-CNNVQH-IT-Lan6-Fn-16062023.pdf
83041	07-1-CV-YC-Lamro-Qi-Final-Trinhky.pdf
83367	TB-Ketluan-VH-T6-2023.pdf
83942	1-CV-De-Nghi-Bao-Gia-hotrondung-SoViet.pdf
83943	1-CV-De-Nghi-Bao-Gia-hotrondung-Imtek.pdf
83944	1-CV-De-Nghi-Bao-Gia-hotrondung-Beyond.pdf
88296	02-Ttr-Thamdinh-Hoso-Capdo-ATTT-CPCIT-Dot2-V2.pdf
88504	TRÌNH KÝ -QD-GIAO-NV-PP-PHU-TRACH-P-QLDT-N-H-GIANG.pdf
88514	03-QD-PD-NVKS-DA-CSKH2023-Trinh-Ky.pdf
88553	QD-Thanhlap-CSIRT-CPCIT.pdf
89389	TB CÔNG TÁC CÁN BỘ - N H GIANG.pdf
89495	30.3-QD-PD-KQ-LCNT-Muasam-GGmaps.pdf
91090	06-QD-TL-TGS-GGmap 03 nam.pdf
91300	Thongbaokhoicong-GGmaps.pdf
91454	42.QD-TL-Hoi dong nghiem thu Ggmaps.pdf
91459	Tbao-Kluan-Quy2-2023-IT.pdf
